zip,lat,lon
91001,34.194489,-118.138263
91003,34.1897,-118.1312
91006,34.135159,-118.026685
91007,34.128284,-118.047732
91008,34.153159,-117.968818
91010,34.141012,-117.958661
91016,34.1528,-118.000482
91017,34.1481,-117.999
91024,34.175276,-118.046017
91025,34.1617,-118.0528
91101,34.146771,-118.138922
91102,34.1478,-118.1445
91103,34.167361,-118.164144
91104,34.165356,-118.123751
91105,34.13946,-118.166649
91106,34.139402,-118.128658
91107,34.159007,-118.087353
91108,34.122372,-118.114234
91702,34.281525,-117.80009
91706,34.09741,-117.968269
91722,34.097333,-117.906707
91723,34.084747,-117.886844
91724,34.078991,-117.854411
91731,34.078573,-118.043456
91732,34.072407,-118.014524
91733,34.045809,-118.053756
91734,34.0686,-118.0276
91735,34.0686,-118.0276
91736,34.065596,-118.037245
91740,34.119367,-117.855054
91741,34.163363,-117.834121
91744,34.0313,-117.936777
91745,33.999005,-117.972146
91746,34.043304,-117.986859
91747,34.02,-117.9495
91748,33.978293,-117.902317
91749,34.02,-117.9495
91754,34.052922,-118.143465
91755,34.050965,-118.114394
91756,34.0625,-118.1228
91765,33.985166,-117.812005
91770,34.065108,-118.082791
91771,34.0806,-118.0728
91772,34.0806,-118.0728
91776,34.088952,-118.094468
91778,34.0961,-118.1058
91780,34.101509,-118.055859
91789,34.018195,-117.854821
91790,34.066964,-117.937007
91791,34.061624,-117.892235
91792,34.022581,-117.902359
91793,34.0686,-117.939
91801,34.090924,-118.127761
91802,34.0953,-118.127
91803,34.074736,-118.145959
